Language	Wiki	Articles	Total	Edits	Admins	Users	Active Users	Files	Depth
Quechua	qu	21,809	53,860	639,001	2	22,764	31	0	26
Venetian	vec	21,242	47,485	623,906	3	25,573	40	720	20
Mongolian	mn	19,023	78,177	608,446	5	63,261	97	1,454	75
Samogitian	sgs	16,863	28,477	349,906	5	20,808	25	109	6
Walloon	wa	15,650	40,174	354,192	3	18,228	32	2,098	22
Oriya	or	15,614	66,289	383,953	6	24,410	60	127	61
Sinhalese	si	15,567	72,006	447,365	3	44,888	99	4,551	82
Min Dong	cdo	15,452	30,932	86,349	4	15,711	20	4	3
Scottish Gaelic	gd	15,066	31,107	554,006	3	21,588	28	347	20
Yiddish	yi	15,003	41,865	549,280	3	36,603	43	1,062	42
Amharic	am	14,834	45,381	359,211	3	31,003	28	1,753	34
Neapolitan	nap	14,561	23,348	660,146	3	23,014	25	285	10
Ilokano	ilo	14,244	57,517	352,859	2	13,712	15	0	57
Buginese	bug	14,127	18,764	192,752	1	10,382	15	0	1
Mingrelian	xmf	13,707	29,842	142,039	3	13,428	23	0	7
Upper Sorbian	hsb	13,548	34,548	368,700	4	19,672	36	138	26
Maithili	mai	13,519	34,838	203,683	5	8,478	25	105	15
Zazaki	diq	13,399	32,324	408,889	6	19,435	27	215	25
Banyumasan	jv-x-bms	13,345	29,073	208,855	1	12,709	20	483	10
Faroese	fo	13,307	39,285	358,126	4	22,425	43	0	35
Mazandarani	mzn	13,128	28,749	150,123	3	22,217	35	270	7
Sindhi	sd	12,998	42,188	184,392	4	11,665	34	87	22
Limburgish	li	12,751	62,880	440,841	7	21,863	29	624	108
Navajo	nv	12,595	24,823	235,338	3	12,371	11	574	9
Emilian-Romagnol	eml	12,329	32,494	135,709	3	18,312	32	2,306	11
Sakha	sah	12,202	42,609	350,466	3	18,150	30	1,766	51
Ossetian	os	11,940	45,699	476,659	3	19,224	19	179	83
Sanskrit	sa	11,456	61,054	450,934	5	28,515	201	437	138
Pashto	ps	11,070	41,099	247,489	1	21,289	61	1,520	44
Acehnese	ace	10,323	17,631	117,143	2	19,604	28	0	3
North Frisian	frr	10,299	28,343	180,856	5	13,803	22	986	20
Hill Mari	mrj	10,271	16,864	95,890	1	8,447	15	0	2
